,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
912,763588,13083239,3579,8319728,7846067,9677870,31145060,28210996,161099,816487
913,7784,38709,47281,3636,29313,140181,763588,2904330,5983694,6347563
914,17165888,30340888,24885829,68653,28210996,30205595,816487,28362008,17071967,31626023
915,763588,7846067,191113,30120,16101018,13083239,816487,176972,165068,17846011
916,30119,53498,47281,763588,11387515,370493,816487,8319728,27247476,165068
917,763588,3636,3980,13083239,9677870,9673436,11387515,28210996,7846067,816487
918,7846067,30119,17165888,9677870,763588,30340888,176972,3980,31145060,9322920
919,4215733,763588,68653,17165888,29152096,758707,543495,176972,161099,410913
920,29102876,47558,6562659,27064348,17165888,6347563,69139,17239036,7893,17290220
921,763588,7846067,17165888,18051269,28210996,30340888,13083239,16029151,8319728,758707
922,474858,505304,767680,763588,7846067,13083239,17846011,25785760,33376257,109059
923,11233988,7846067,763588,8319728,19543,5,3008,233093,37186,11594337
924,7846067,8319728,763588,17165888,9677870,515904,8999818,30340888,31626023,28210996
925,763588,7846067,17165888,33376257,4215733,17262290,9677870,29279220,176972,108391
926,763588,7846067,9677870,8319728,816487,31626023,30340888,17165888,161099,34608694
927,7846067,13083239,763588,191113,7844798,6871646,37186,4215733,68653,19348456
928,23772,233093,763588,25785760,33376257,42486,47558,109059,23528363,161099
929,84369,9822,144006,231826,78411,9677870,109059,18656193,77390,82599
930,17165888,30340888,763588,25377078,4215733,816487,28210996,31626023,246617,18051269
931,7846067,763588,5,3579,816487,18051269,17846011,8319728,17082833,30340888
932,23590446,176972,763588,30340888,20697464,17165888,11737022,28210996,3360369,165068
933,763588,9677870,17165888,28210996,16029151,31145060,4215733,30340888,31626023,29102876
934,763588,33376257,17165888,30340888,32956666,24885829,29102876,32333298,7846067,31626023
935,763588,28210996,13586915,16029151,2805987,31145060,24819508,7692533,17165888,5
936,763588,13083239,68653,4215733,17165888,816487,161099,109059,29279220,18051269
937,5,7846067,11594337,9677870,6871646,763588,24885829,29102876,3118349,7692533
938,763588,7846067,13083239,16101018,18764221,23130340,23310669,25785698,25785760,33376257
939,17165888,763588,28210996,29102876,4215733,8319728,25785760,816487,176972,13083239
940,763588,3636,17165888,5,3579,4215733,31145060,29102876,7846067,28210996
941,5,3579,11594337,84369,11387515,816487,763588,176972,25785760,9673436
942,763588,191113,17165888,16669264,489972,17239036,3579,161099,29279220,7846067
943,3579,763588,8319728,7747422,9677870,236093,7846067,16101018,69139,9673436
944,763588,28210996,30119,11387515,13083239,17165888,176972,68653,25785760,161099
945,3980,4948,7784,10065,19321,23772,24178,47281,77390,84369
946,17165888,4215733,29279220,69139,16667794,758707,161099,763588,176972,28637454
947,8319728,7844798,28210996,30340888,24885829,7846067,25785760,18051269,763588,68653
948,3636,22484277,28210996,7692533,25785760,22718699,30340888,30205595,20697464,25817074
949,763588,30119,19543,176972,17165888,816487,9677870,4948,7784,31145060
950,17165888,13083239,30340888,763588,31258103,68653,25785760,31145060,779021,421642
951,7846067,13083239,8319728,763588,30119,22889878,17165888,31258103,68653,28210996
952,5,3980,77390,505304,29313,763588,6347563,7846067,13083239,22693811
953,5,2998,3008,4948,7779,23772,24178,77390,113946,140225
954,763588,33376257,17165888,18051269,29279220,17071967,20724592,28210996,176972,4215733
955,763588,6347563,7846067,13083239,17846011,25785760,28687247,33376257,3579,849287
956,763588,6347563,7623958,7846067,9661136,10845916,11387515,13083239,13624190,16101018
957,19543,46677,8337,2839,30119,58922,11301,489972,19321,3579
958,2998,3008,7779,7784,24178,30118,46677,47281,77390,98573
959,28210996,29102876,17165888,763588,31145060,4215733,191113,33376257,31626023,24885829
960,4215733,763588,17165888,16667794,37186,219557,847018,28210996,23590446,758707
961,763588,7846067,13083239,33376257,3579,47558,109059,1414607,161099,402009
962,129771,763588,3636,30340888,7692533,7844798,31702735,16029151,28963662,27064348
963,7846067,37186,763588,3579,176972,69139,515904,3636,4215733,29279220
964,7846067,17846011,7844798,16669264,30340888,30652384,17165888,11233988,33376257,8999818
965,4948,30119,763588,6347563,9642662,16101018,18405521,20708773,21965198,23310669
966,18051269,17165888,29279220,68653,4215733,763588,13083239,28210996,29102876,161099
967,272343,17165888,31456756,25377078,33376257,30340888,17930108,858586,22750286,7030777
968,24633190,33376257,28507895,161099,17165888,28210996,17586992,26244910,30340888,34608694
969,763588,3579,3636,816487,2998,3980,13083239,194870,157993,9673436
970,763588,5,31626023,9677870,28210996,11387515,8319728,9673436,31145060,816487
971,18051269,29279220,4215733,68653,17165888,7692533,29102876,28210996,30652384,33376257
972,5,3636,29313,763588,6347563,7846067,11556479,11594337,13083239,16101018
973,47558,17165888,11387515,9673436,18051269,315882,30205595,4215733,29102876,58922
974,161099,334818,29102876,17165888,489972,42486,16029151,5408376,69139,19330
975,763588,176972,3579,13083239,816487,77391,165068,163716,37186,8337
976,763588,3579,17165888,28210996,4215733,31145060,25785760,161099,29102876,816487
977,763588,7844798,28210996,22693811,453916,13531024,816487,16101018,7846067,24885829
978,2998,4948,19543,30118,113946,763588,7846067,9642662,11233988,11594337
979,763588,29102876,17165888,28210996,18051269,4215733,31626023,816487,758707,7846067
980,7846067,161099,27247476,28210996,17165888,7844798,763588,16029151,18051269,7692533
981,763588,30119,3579,28210996,17165888,20696727,453916,816487,31626023,33376257
982,763588,816487,19543,17165888,113946,29102876,176972,109059,8319728,23528363
983,763588,176972,1401164,816487,69139,7846067,776407,22917,4215733,161099
984,763588,30340888,31626023,816487,17165888,4215733,31145060,421642,176972,20697464
985,17165888,13083239,7846067,33376257,31145060,4215733,176626,11387515,29279220,176972
986,763588,3636,7846067,3579,176972,17165888,9673436,13083239,22917,30120
987,13083239,28814845,28210996,17165888,936503,25058,29279220,176972,161099,68653
988,763588,3579,7846067,9673436,176972,37186,816487,13083239,8319728,9822
989,17165888,31626023,816487,763588,113946,28210996,30340888,17071967,28114578,3476560
990,5,77390,140225,183999,201138,310039,474858,728468,728477,900065
991,17165888,29102876,763588,28210996,3579,4215733,8319728,161099,16029151,31145060
992,2998,10365,763588,3579,16101018,8319728,31145060,9677870,30340888,22889878
993,7846067,763588,29279220,18051269,32333298,7844798,9677870,28210996,7692533,30340888
994,4948,7784,11301,19321,19543,23772,24178,42369,47281,77390
995,763588,17165888,33376257,28210996,113946,30119,31145060,176972,165068,816487
996,7846067,28645670,33376257,17165888,13588082,20696727,28210996,30340888,30205595,33158525
997,763588,30340888,17165888,31145060,68653,16029151,5,161099,758707,4215733
998,161099,4215733,758707,13083239,763588,33016249,28210996,7846067,16029151,29279220
999,11594337,9322920,191113,9677870,11233988,7692533,16650266,30205595,17934432,13591670
1000,763588,6347563,7846067,25785760,33376257,28507895,161099,165068,17165888,8319728
1001,157993,763588,37186,6327,7846067,9677870,10365,515904,8319728,11556479
1002,3579,763588,887573,29102876,1099097,7893,47558,19336,157993,17165888
1003,17165888,28210996,30340888,17262290,13586915,33376257,32333298,28814845,31626023,18465502
1004,18667875,17165888,28210996,763588,161099,29102876,24885829,4215733,28362008,16029151
1005,11594337,22917,763588,24213,2998,13083239,3579,9677870,17165888,11387515
1006,763588,17165888,3636,7846067,816487,28210996,9677870,17262290,4215733,23772
1007,17165888,763588,7846067,28210996,11233988,11556479,30340888,8319728,25785760,9677870
1008,7846067,30340888,30205595,24885829,17165888,33376257,32333298,16029151,31145060,7844798
1009,763588,8319728,20724592,68653,17165888,28210996,453916,30340888,816487,31145060
1010,28210996,17165888,7846067,763588,4215733,29102876,30340888,18051269,5,24885829
1011,763588,7846067,816487,7692533,17165888,9677870,30340888,31626023,4215733,176972
1012,763588,7846067,9677870,17165888,109059,3579,4215733,29102876,68653,22693811
1013,763588,17165888,29102876,30340888,7692533,29279220,4215733,28210996,161099,31145060
1014,4948,19543,816487,7784,420282,3636,191113,6310,191139,30120
1015,17165888,763588,28210996,13083239,30340888,33376257,17262290,4215733,68653,7846067
1016,370493,763588,16029151,29102876,13083239,11192642,29279220,3636,68653,176972
1017,29102876,11594337,17165888,30340888,9322920,28210996,13588082,16029151,763588,25489033
1018,17165888,7692533,4215733,22571259,11594337,28210996,33016249,30205595,30340888,763588
1019,763588,161099,176972,3579,17165888,7846067,4215733,29279220,1401164,816487
1020,7846067,765654,13588082,9677870,7844798,2805987,30340888,28210996,27247476,17262290
1021,763588,4215733,17165888,7692533,2805987,858586,816487,13586915,30205595,246617
1022,763588,7846067,17165888,25058,8319728,28210996,834493,176972,31145060,4215733
1023,113946,474858,29313,140181,763588,6347563,7846067,9642662,11387515,13083239
1024,17165888,30340888,7846067,18051269,20697464,33376257,31626023,29279220,11233988,31456756
1025,17165888,7692533,30340888,30205595,763588,7846067,16029151,29102876,17071967,20696727
1026,13083239,30205595,33376257,17165888,31145060,763588,113946,28210996,32333298,11360892
1027,5,2998,3008,3980,4948,7779,7784,10065,19321,19543
1028,763588,3636,17165888,29102876,28210996,370493,7846067,7784,11594337,33016249
1029,30118,113946,370493,763588,13083239,3579,9677870,161099,165068,776407
1030,113946,816487,3579,194870,157993,22917,7779,3636,763588,30119
1031,30340888,33376257,25716590,30205595,20793857,20697464,28210996,20670612,25377078,33784360
1032,28210996,2998,763588,17165888,165068,7846067,31145060,30340888,16029151,7692533
1033,17165888,4215733,30205595,33376257,29102876,68653,16029151,30340888,13586915,34523572
1034,30340888,17165888,7846067,28814845,28210996,33376257,29152096,13083239,30205595,28637454
1035,763588,176972,816487,161099,17165888,1401164,23590446,7846067,7844798,28210996
1036,13083239,11192642,6310,7747422,109059,11387515,6689,3579,1414607,47558
1037,13083239,13588082,37186,109059,7846067,860745,17165888,30340888,144006,24213
1038,763588,17165888,29102876,4215733,7846067,3636,31145060,31626023,18051269,28210996
1039,30119,77390,84369,505304,511614,3636,8337,24963,29313,763588
1040,3008,763588,6347563,7846067,11387515,13083239,20821299,22693811,25785760,28818766
1041,16029151,17071967,28210996,68653,3579,4215733,17165888,109059,758707,402009
1042,28210996,7846067,13588082,758707,936503,17165888,11233988,8319728,30340888,28114578
1043,32333298,17165888,29102876,28210996,763588,24885829,33376257,3579,17262290,28259095
1044,4215733,68653,763588,28210996,18051269,17165888,31145060,816487,33016249,7846067
1045,763588,19330,42486,334818,28210996,7893,68653,4215733,29279220,17165888
1046,3579,763588,7846067,4215733,816487,28210996,161099,8319728,9677870,17165888
1047,7846067,17165888,16029151,7844798,28210996,30340888,17262290,763588,13083239,9677870
1048,4948,7784,19543,9822,29313,763588,6347563,7846067,11387515,13083239
1049,763588,7846067,33376257,9673436,23528363,161099,17165888,8319728,7844798,28210996
1050,763588,176972,4215733,17165888,28210996,113946,29102876,31145060,68653,69139
1051,113946,763588,17165888,28210996,16029151,31145060,4215733,816487,176972,29102876
1052,10065,19321,23772,24178,30119,113946,191139,233093,420180,474858
1053,11233988,28210996,9677870,8319728,7846067,515904,7844798,421643,28965128,2904330
1054,3636,763588,7846067,816487,9677870,31145060,3579,7844798,17165888,31626023
1055,191113,8999818,31626023,17082833,32333298,30340888,21416421,22889878,20697464,30205595
1056,17165888,763588,28210996,29102876,20696727,453916,47558,3579,16029151,31145060
1057,17165888,29102876,24885829,28210996,17262290,30652384,30205595,20696727,30340888,758707
1058,763588,7846067,13083239,21965198,23310669,24819508,25785760,37186,109059,9677870
1059,17165888,24885829,29102876,25377078,4215733,161099,28210996,31456756,1401164,31145060
1060,763588,13083239,816487,4215733,29102876,3579,17165888,47558,858586,16029151
1061,3008,98573,113946,3636,29313,763588,6347563,7846067,11387515,13083239
1062,17165888,17071967,28210996,16029151,31145060,4215733,30340888,32333298,30205595,25738883
1063,453916,17165888,29102876,763588,68653,8319728,25377078,6562659,32956666,31145060
1064,7846067,763588,17165888,30340888,33376257,28210996,31626023,7692533,4215733,758707
1065,7846067,24213,191113,515904,816487,28637454,78418,165068,909257,17165888
1066,30205595,7692533,17165888,30340888,13586915,27247476,17262290,9677870,33376257,28449045
1067,4215733,763588,18051269,17165888,29102876,28210996,33016249,7893,20697464,816487
1068,763588,13083239,176972,29102876,4215733,29279220,3579,42036,161099,17239036
1069,763588,34268,6319,13083239,7505716,682751,1948120,19336,125190,13260645
1070,17262290,28210996,33376257,30340888,17165888,27247476,21413862,25377078,758707,34002075
1071,17165888,763588,3636,113946,17262290,20696727,24178,13083239,28210996,24819508
1072,816487,9673436,8337,266904,28210996,821000,160629,899602,47558,68653
1073,758707,402009,25377078,17165888,421642,68653,4215733,28637454,24885829,30340888
1074,17165888,28210996,763588,18051269,29102876,758707,176972,11233988,22917,30340888
1075,4215733,763588,28210996,3579,17165888,23590446,161099,68653,31145060,176972
1076,30340888,763588,32333298,17165888,33376257,17262290,23528363,7846067,816487,25937839
1077,13083239,161099,17165888,25377078,4215733,29102876,68653,246617,21965198,28637454
1078,763588,7846067,33376257,109059,17262290,17165888,8319728,20696727,25817074,28210996
1079,7846067,17165888,28210996,24885829,13083239,763588,29102876,30205595,30340888,176972
1080,2998,19321,23772,8337,160629,763588,6347563,13531024,22693811,22747796
1081,763588,29102876,4215733,31145060,16029151,834493,4948,13591670,161099,19348456
1082,763588,28210996,17165888,18051269,7846067,30340888,33376257,31626023,7692533,161099
1083,5,763588,7846067,13083239,24819508,25785760,27247476,33376257,109059,23528363
1084,7846067,191113,20696727,9677870,17165888,16650266,7692533,28210996,20256610,5
1085,370493,157993,3636,2998,30119,30118,30120,28195,3980,3008
1086,763588,7846067,11387515,33376257,3579,13260645,18051269,28210996,4215733,30340888
1087,17165888,30340888,29102876,763588,31258103,8319728,68653,758707,29279220,4215733
1088,3579,5,13083239,29291,2998,19543,763588,3636,3980,37186
1089,5,2839,2998,3008,3980,7784,10065,24178,30118,30119
1090,17165888,30205595,28210996,30340888,33413919,7844798,20697464,7692533,34523572,17071967
1091,7846067,763588,4215733,13083239,29279220,8319728,176972,816487,25058,20697464
1092,17165888,28210996,763588,7846067,24819508,109059,31456756,17262290,16029151,20696727
1093,763588,3476560,776407,176972,31626023,9677870,816487,32333298,7692533,161099
1094,24819508,30118,30120,13083239,763588,7846067,125507,816487,176972,7692533
1095,763588,7846067,33376257,17165888,28210996,16029151,774012,4215733,30340888,68653
1096,5,763588,7846067,28210996,18051269,22917,7844798,13083239,161099,8319728
1097,5,28210996,4215733,763588,3636,18051269,17165888,38709,16029151,3579
1098,17165888,33376257,28210996,30205595,30340888,29102876,4215733,24885829,17262290,32333298
1099,7846067,763588,9677870,31626023,7268995,7844798,816487,8319728,23310161,25785644
1100,763588,30340888,17262290,29102876,32956666,28210996,161099,22889878,24885829,28863276
1101,763588,19330,1099097,201138,3579,19321,25058,7893,17239036,194870
1102,763588,17165888,29102876,7692533,29279220,16101018,8319728,758707,34608694,20697464
1103,763588,17165888,28210996,30340888,8319728,4215733,16029151,29102876,24885829,17071967
1104,763588,7846067,13083239,16101018,17846011,27247476,33376257,9677870,17262290,17165888
1105,763588,4215733,29279220,176972,161099,816487,17165888,33016249,31145060,17071967
1106,32333298,28210996,17165888,7692533,30340888,33376257,9677870,515904,936503,25745002
1107,17165888,763588,4215733,28210996,8319728,7846067,758707,31626023,29279220,109059
1108,19543,7846067,17082833,9677870,763588,816487,233093,17165888,113946,30340888
1109,30340888,17165888,7846067,8319728,30205595,28210996,18051269,758707,20697464,16029151
1110,763588,5,9673436,17262290,28210996,17165888,7844798,13083239,30340888,16029151
1111,7846067,29279220,13083239,17165888,765654,30119,33376257,2805987,7844798,7692533
1112,17165888,16029151,29102876,18051269,763588,7844798,7846067,30205595,28210996,9677870
1113,7846067,5,763588,30119,13083239,28210996,19543,17165888,8319728,16029151
1114,16101018,763588,29152096,23528363,816487,161099,10065,489972,176972,280313
1115,140225,47558,763588,4215733,42486,17165888,3579,7893,190343,161099
1116,17165888,763588,28210996,161099,16029151,7893,29102876,68653,13083239,30340888
1117,763588,17165888,18051269,30340888,758707,8319728,33376257,28210996,109059,23528363
1118,763588,33376257,17165888,25058,28210996,176972,4215733,7692533,30340888,30205595
1119,17165888,9677870,161099,24885829,31145060,176972,30340888,30118,763588,13083239
1120,4215733,68653,28210996,17165888,763588,29102876,30205595,34523572,13083239,7846067
1121,17846011,489972,460548,7846067,9642662,17071967,6536681,23341903,34523572,820075
1122,763588,31258103,31145060,17165888,17071967,8319728,28210996,16101018,4215733,55776
1123,776407,4215733,3008,13083239,161099,763588,17165888,3579,8319728,24178
1124,763588,3579,161099,176972,816487,28210996,29102876,31145060,31626023,3476560
1125,816487,25058,763588,386765,84369,4215733,140225,69139,176972,3579
1126,3636,816487,113946,7846067,763588,24178,9677870,176972,27247476,7268995
1127,68653,23590446,763588,3579,18051269,4215733,474858,25614428,999681,1566644
1128,763588,816487,17165888,31626023,29102876,18051269,28210996,7846067,22917,30340888
1129,763588,68653,176972,28210996,17165888,453916,30340888,8319728,1013383,7846067
1130,68653,7893,763588,17165888,13083239,1414607,2060655,165068,28210996,25785760
1131,5,30119,763588,7846067,13083239,33376257,3579,9677870,23528363,161099
1132,763588,816487,176972,4215733,5,8319728,23590446,55776,17239036,161099
1133,370493,30119,13083239,763588,11387515,30118,2805987,11594337,30340888,30205595
1134,763588,8319728,17165888,28210996,27247476,29102876,30340888,31145060,176972,31258103
1135,10065,84369,140225,3636,763588,6347563,7846067,13083239,16101018,17286758
1136,3579,763588,10365,8337,9677870,113946,47281,91244,24178,30119
1137,763588,83369,176972,29279220,25058,3636,773514,13083239,165068,774597
1138,7779,7784,10065,23772,30118,77390,140225,191139,420180,474858
1139,68653,4215733,763588,17165888,28210996,24885829,816487,8319728,19543,161099
1140,5,24178,30119,113946,763588,165068,17165888,776407,176972,4215733
1141,24885829,7846067,17165888,32333298,29279220,763588,33376257,7692533,29102876,7844798
1142,161099,3008,78039,232576,25489033,25361885,763588,1401164,1174169,735695
1143,157993,37186,763588,7846067,9677870,24213,3579,8319728,191113,13083239
1144,763588,5,31626023,176972,30340888,7846067,816487,17165888,758707,29102876
1145,30340888,20697464,7692533,763588,9677870,21416421,31626023,32333298,29279220,30205595
1146,763588,3636,3579,29102876,11594337,3008,30119,443103,176972,13083239
1147,763588,13083239,68653,28210996,1414607,936503,16029151,29102876,4215733,161099
1148,7846067,763588,17165888,28210996,7692533,4215733,30340888,29279220,31145060,7844798
1149,763588,3579,13083239,161099,22917,176972,165068,821000,47558,28210996
1150,5,763588,25785760,161099,17165888,18051269,28210996,16029151,4215733,30340888
1151,3943162,763588,9677870,30205595,161099,2904330,30340888,19348456,33376257,11867718
1152,83346,95144,4215733,776407,410913,402009,730596,310039,110604,543495
1153,763588,3579,816487,13083239,161099,176972,4215733,386765,23590446,69139
1154,763588,17165888,28210996,4215733,30340888,68653,29279220,29102876,33376257,31145060
1155,7692533,17165888,763588,4215733,30205595,13083239,7844798,29152096,29279220,2805987
1156,7846067,16101018,32333298,763588,24819508,7692533,17846011,9677870,27247476,8999818
1157,763588,31145060,17165888,20696727,17262290,29102876,47558,42486,109059,3579
1158,763588,816487,17165888,30340888,31626023,29102876,25785760,9673436,31145060,22917
1159,18782850,30652384,28210996,17165888,20256610,30340888,16052012,29279220,24819508,758707
1160,30652384,30340888,30205595,16718342,24885829,758707,33376257,28210996,10967391,31456756
1161,763588,31626023,31145060,29102876,28210996,32333298,30340888,20697464,23719470,816487
1162,7846067,33376257,17165888,7692533,30340888,32333298,30205595,28210996,9677870,31626023
1163,17165888,13083239,33376257,68653,28210996,16029151,20697464,34523572,4215733,29279220
1164,7846067,5,30119,763588,3579,191113,9677870,13083239,936503,27247476
1165,17165888,23528363,4215733,113946,420282,7692533,161099,33376257,8319728,22750286
1166,5,2839,2998,7784,24178,30119,38709,47281,77390,113946
1167,3636,30119,763588,370493,30118,17165888,31145060,29102876,7846067,4215733
1168,763588,17165888,8319728,28210996,7893,25785760,13083239,30340888,18051269,29152096
1169,17165888,30340888,763588,31145060,29102876,28210996,32333298,33376257,7846067,30205595
1170,3579,176972,1401164,161099,763588,77390,225038,386765,3783,47558
1171,4948,23772,24178,763588,6347563,7846067,11594337,13083239,15944573,17082833
1172,4215733,28210996,30205595,17165888,13083239,763588,2805987,7692533,18051269,16029151
1173,33376257,8319728,32333298,30340888,13083239,17165888,23528363,165068,936503,28210996
1174,23528363,763588,69139,17165888,816487,17262290,161099,4215733,42486,29102876
1175,763588,17165888,161099,113946,28210996,28686931,4215733,816487,7846067,3579
1176,763588,17165888,176972,29102876,28210996,4215733,3579,68653,758707,936503
1177,17165888,28210996,30340888,29102876,30205595,24885829,18051269,20696727,24819508,16029151
1178,767680,763588,6347563,7846067,13083239,17846011,20821299,25785760,33376257,109059
1179,6310,3636,6689,157993,6319,6327,11387515,420282,38709,22917
1180,113946,763588,3579,176972,7846067,4215733,19321,69139,816487,19330
1181,13083239,28814845,816487,161099,763588,31145060,17165888,4215733,7846067,28210996
1182,11233988,7846067,28210996,24819508,29102876,7844798,17165888,8319728,25785760,13083239
1183,30340888,763588,20697464,7692533,30205595,23528363,31626023,29102876,816487,176972
1184,68653,18051269,29102876,13083239,7846067,17165888,758707,763588,28210996,32956666
1185,3579,763588,219557,37186,17165888,8319728,28210996,25058,386765,176972
1186,47558,17165888,28210996,30340888,8319728,18051269,763588,30205595,28114578,22889878
1187,3636,763588,7846067,30340888,31626023,17165888,17262290,47558,758707,11556479
1188,29102876,17165888,763588,9677870,5,3579,16029151,4215733,30340888,758707
1189,4948,58922,4215733,3579,763588,42486,161099,816487,357664,33016249
1190,763588,13083239,24819508,109059,161099,17165888,8319728,28210996,176972,31145060
1191,19543,191113,4948,113946,763588,23772,7846067,98573,816487,13083239
1192,140225,8337,763588,3579,161099,17165888,25058,7893,28210996,176972
1193,763588,13083239,816487,9673436,30340888,17165888,11387515,140225,16101018,7692533
1194,19543,17165888,4215733,31145060,98573,3323157,28210996,776407,3579,47558
1195,763588,8337,176972,77390,31145060,17165888,4215733,3008,42486,23590446
1196,334818,7846067,165068,16029151,68653,775597,763588,758707,47558,21416421
1197,13083239,24213,3579,30118,763588,7784,6310,4948,165068,2998
1198,17165888,29102876,32333298,30205595,28210996,30340888,33376257,27414384,20256596,13588082
1199,763588,816487,4215733,8319728,17165888,28210996,176972,31145060,47558,7846067
1200,113946,763588,3579,28210996,23590446,176972,4215733,29102876,17165888,161099
1201,176972,763588,17165888,19543,31145060,4215733,3323157,916666,1948120,69139
1202,3579,763588,7505716,25058,176972,7846067,386765,4215733,161099,219557
1203,763588,9677870,13083239,816487,8319728,176972,113946,4215733,29279220,31626023
1204,14118,763588,68653,816487,161099,17368237,1414607,10659536,474858,3579
1205,370493,30119,30118,30120,140225,420282,236093,37186,84369,407429
1206,5,4948,23772,24178,763588,6347563,7846067,13083239,13531024,17082833
1207,5,13083239,37186,7846067,9677870,165068,763588,16029151,161099,176972
1208,30340888,30205595,17165888,763588,7692533,28210996,816487,25785698,13588082,24633190
1209,17165888,28210996,30340888,33376257,18051269,113946,11387515,20697464,29102876,763588
1210,29102876,763588,4215733,68653,3476560,8319728,758707,7846067,16029151,19348456
1211,7846067,7844798,9677870,191113,176972,28210996,763588,161099,13083239,7692533
1212,763588,17165888,29279220,28210996,4215733,29102876,68653,23590446,28507895,8319728
1213,161099,3476560,763588,4215733,16029151,17071967,28210996,816487,33016249,18667875
1214,7779,113946,233093,763588,7846067,11233988,17082833,21965198,23310669,24633190
1215,763588,7846067,25785760,3579,23528363,17165888,776407,25058,219557,8319728
1216,29279220,29102876,763588,161099,21416421,17239036,7846067,8319728,17165888,22889878
1217,2998,3008,3636,2839,10365,763588,22693811,281530,38709,776407
1218,763588,176972,236093,7846067,6434058,191113,1948120,83346,190343,7893
1219,4215733,763588,7844798,47558,7692533,68653,17262290,17165888,33413919,26586438
1220,8319728,17165888,29102876,28210996,30340888,758707,763588,18051269,24819508,7692533
1221,30340888,20697464,18051269,30205595,17846011,28210996,17165888,34523572,13588082,18851166
1222,84369,28210996,109059,68653,763588,8319728,936503,20724592,47558,402009
1223,19543,30118,140225,29313,763588,6347563,7846067,13083239,22693811,24819508
1224,30340888,7692533,33158525,21965198,28210996,28114578,34137106,13586915,17165888,28362008
1225,30340888,17165888,8319728,9677870,7692533,816487,763588,16029151,2805987,20697464
1226,17165888,28210996,29102876,16029151,4215733,20696727,763588,9322920,3980,7692533
1227,11594337,30340888,5,29102876,13083239,28210996,17165888,7692533,30205595,763588
1228,29102876,24819508,16029151,13591670,763588,17165888,8319728,7846067,113946,28210996
1229,763588,7846067,13083239,24819508,33376257,161099,17165888,20724592,28210996,16029151
1230,5,763588,13083239,8319728,18051269,28210996,17165888,816487,176972,4215733
1231,763588,13083239,18051269,7846067,28210996,191139,29279220,165068,11387515,11594337
1232,763588,28210996,7846067,8319728,17165888,161099,23590446,13083239,18051269,33376257
1233,17165888,17071967,30340888,32333298,936503,7692533,4215733,31626023,758707,30205595
1234,16101018,763588,31145060,30340888,30205595,1414607,17165888,20697464,7692533,32333298
1235,763588,28210996,17165888,161099,68653,4215733,113946,69139,17239036,958277
1236,7846067,763588,11387515,191139,113946,27247476,13083239,816487,9677870,7844798
1237,763588,17165888,8319728,30340888,7846067,28210996,176972,31145060,13083239,816487
1238,763588,3579,2998,28210996,22917,3008,47558,161099,68653,55776
1239,17165888,30205595,30340888,33376257,17262290,28210996,13586915,31145060,25785760,28362008
1240,7692533,11387515,17165888,33413919,30340888,9673436,30205595,32333298,34523572,31145060
1241,3636,3579,763588,5,37186,27247476,8319728,10365,11387515,47281
1242,313375,140225,4600,763588,816487,176972,17239036,47558,3476560,1422149
1243,28210996,17165888,68653,17071967,31258103,776407,24885829,31145060,300961,30375421
1244,24819508,30340888,17165888,8319728,5,31145060,11594337,9673436,763588,17071967
1245,763588,7846067,17165888,816487,9677870,8319728,161099,11556479,13083239,30340888
1246,24178,42369,98573,505304,511614,767680,685472,763588,6347563,7846067
1247,30205595,17165888,34523572,33376257,23310669,18166930,25027836,33158525,30340888,32050089
1248,7779,763588,6347563,7846067,13083239,23341903,24633190,25785698,31215005,33376257
1249,3579,763588,816487,30120,47558,30118,176972,32333298,31145060,6319
1250,763588,7846067,24633190,33376257,17165888,18051269,7893,13531092,25377078,28210996
1251,17165888,3323157,17239036,763588,24885829,4215733,776407,410913,31743096,421642
1252,763588,17165888,5,9677870,28210996,13083239,24885829,24819508,29279220,29102876
1253,763588,16029151,7846067,17165888,68653,4215733,29102876,33376257,28210996,176972
1254,763588,30119,176972,5,17165888,113946,30118,28210996,33376257,816487
1255,763588,6347563,7846067,25785760,33376257,3579,23528363,139656,161099,294442
1256,23772,113946,8337,763588,6347563,13083239,25785760,3579,42486,47558
1257,763588,109059,161099,17165888,18051269,28210996,176972,816487,29102876,4215733
1258,20697464,312083,153540,20793857,498954,402009,30340888,18051269,20724592,263587
1259,370493,68653,767680,17846011,24819508,7692533,13588082,7846067,30340888,29279220
1260,763588,7846067,13083239,3579,9673436,161099,17165888,776407,8319728,69139
1261,763588,17165888,28210996,29102876,7846067,24885829,161099,8319728,4215733,23590446
1262,17165888,763588,28210996,32333298,816487,7846067,30340888,29102876,165068,4215733
1263,4948,763588,191113,7846067,7784,489972,22917,176972,775597,515904
1264,11233988,407429,28210996,816487,17262290,13531024,31626023,32333298,161099,20697464
1265,763588,68653,13083239,370493,28210996,29279220,17165888,29102876,4215733,30340888
1266,3579,23772,113946,2998,7784,763588,19321,7846067,1099097,22917
1267,7846067,3579,763588,30120,157993,11594337,9677870,13083239,176972,165068
1268,7846067,17165888,161099,17262290,4215733,28637454,33376257,18051269,28814845,31145060
1269,17165888,20696727,13588082,129771,30205595,33376257,25332008,30340888,18166919,758707
1270,165068,31215005,766020,4948,13083239,191139,176972,23528363,20697464,17165888
1271,763588,11594337,37186,176972,9677870,8319728,3579,9673436,29102876,816487
1272,763588,4215733,3579,17165888,176972,28210996,776407,31145060,18051269,816487
